;Titulo;Sinopsis;Genero
43;9JKL;La vida de Josh Roberts podría ir mejor y la nueva situación a la que se enfrenta no es demasiado esperanzadora. Después de su divorcio, Roberts se ve obligado a trasladarse al mismo edificio donde reside su familia. Cada uno vive en un piso de la planta 9, él se instala en el 9K. No es fácil regresar a la vida de antes después de haber creado tu propia independencia, por eso para Josh es estresante su regreso. Por un lado, sus padres que viven en el 9J están atentos y preocupados de todo lo que hace su hijo. Y por otro, en el 9L, está su hermano, que siempre fue muy competitivo, su cuñada y un bebé recién nacido. La convivencia es una competa locura en la planta 9 pero el apoyo para esta nueva etapa de Josh está más cerca de lo que cree.La historia está inspirada en la vida del actor Marc Feuerstein, que aparte de ser el protagonista principal, también es el productor ejecutivo . El resto del elenco de la sitcom está compuesto por Linda Lavin (Manhattan nocturno), Elliott Gould (Hawai Five-0), David Walton (Masters of sex), Liza Lapira (Crazy, Stupid, Love) y Matt Murray (Eyewitness Testigo).;Comedia,Familia
44;[MI-5] (US);El MI5 es es un grupo que forma parte del servicio secreto británico y se encarga de todo lo que ocurre dentro del país que tiene que ver con la seguridad nacional: terrorismo, agentes dobles, identidades falsas... Todos los miembros del equipo están comprometidos con su trabajo y se complementan a la perfección. Sin embargo, las misiones a veces fracasan y algunos se quedan en el camino o son encarcelados por otros gobiernos.La serie es un 'reboot' del drama de espionaje británico llamado Spooks, conocido en varios países como MI-5. Michael Seitzman, guionista de obras como En tierra de hombres y Código negro, es el guionista principal de la adaptación y también ejerce como productor ejecutivo. La ficción es una coproducción de ABC Studios y Kudos Film.;Drama,Espionaje
45;A dos metros bajo tierra;El protagonista de este aclamado drama de la HBO es Nate Fisher Jr. (Peter Krause, 'Parenthood', 'Sexy Money') cuyo padre, dueño de la funeraria que es el negocio familiar, acaba de morir y lega esta tanto a él como a su hermano David (Michael C. Hall, 'Dexter'). La familia Fisher también está formada por la recién enviudada Ruth (Frances Conroy, 'Cómo conocí a vuestra madre', 'American Horror Story') y su hija Claire (Lauren Ambrose, 'Torchwood', 'Cinco en familia').Por un lado, la serie es un drama familiar convencional que trata con temas tales como las relaciones sentimentales, las infidelidades o la religión. Pero al mismo tiempo, se distingue por su siempre presente tratamiento del tema de la muerte, explorado a varios niveles. Cada episodio comienza con una muerte -cualquier causa, desde un accidente en la piscina a un infarto-, y esa muerte, normalmente, establece el tono que tendrá el episodio haciendo a los protagonistas reflexionar sobre sus vidas, problemas, penas y alegrías, alentados por el eterno miedo a lo que pueda haber tras la muerte. Todo esto, acompañado con fuertes dosis de humor negro y atmósferas surrealistas.Una técnica recurrente de esta serie es la de alguno de los personajes teniendo conversaciones con otros que ya están muertos. Por ejemplo, Nate y David hablan en numerosas ocasiones con el personaje que ha muerto al comienzo del episodio mientras lo embalsaman. Pero, sobre todo, el personaje muerto que vuelve más veces del Más Allá para ayudar a los Fisher a reflexionar es el difunto padre de familia Nathaniel Fisher Senior (Richard Jenkins, 'The Visitor', 'Quemar después de leer'). El creador de la serie Alan Ball ('True Blood', 'American Beauty') describe estos particulares momentos como conflictos internos de los personajes externalizados de forma conversacional.;Comedia,Drama
46;A Dry Run: The Lincolns in Spain;Serie que sigue la historia de la Guerra Civil Española. En ella, se da visibilidad a los voluntarios estadounidenses que combatieron entre su llegada en 1937, durante la primera gran batalla del Valle del Jarama, hasta su partida en 1939.Del mismo modo, se retrata la lucha española en su intento de derrotar el fascismo y el mal uso del capitalismo. De algún modo, se relaciona con la narrativa política que prevaleció durante el siglo XX así como en la actualidad.El creador de Dry Run, David Samon, ya desarrolló previamente otros títulos importantes como The Wire o The Deuce: las crónicas de Time Square.;Drama,Histórico
47;A flor de piel;'A flor de piel' es una novela de pasiones y enredos protagonizada por Mariana Garza y Gerardo Acuña. La primera se pone en la piel de una joven humilde que graba fiestas en vídeo, mientras que el segundo es el hijo de un multimillonario atormentado por la muerte de su hermano.   La serie se emitió entre febrero y julio de 1994 a través del canal mexicano de televisión Azteca Trece y estaba producida por Víctor Hugo O'Farrill y su empresa, O'Farrill y Asociados. Esta fue la primera telenovela que la actriz, Mariana Garza, protagonizó fuera de Televisa, la que fuera su casa durante 10 años.;Drama
48;A Gifted Man;De la mente creativa de Susannah Grant ('Cinco en familia', 'Erin Brockovich', 'El solista', 'En sus zapatos', nominada al Oscar) y producida por Jonathan Demme (Ganador de un Oscar a la Mejor Dirección en 1992 por 'El silencio de los corderos', 'Philadelphia'), 'A Gifted Man' relata la vida de Michael Holt (Patrick Wilson, 'Watchmen', 'Juegos secretos'), un brillante y carismático cirujano cuya vida da un giro de 180 grados cuando empieza a recibir enseñanzas del verdadero sentido de la vida... de parte de su mujer muerta (Jennifer Ehle, 'El discurso del Rey', 'Cuestión de honor'). Detrás del proyecto, en labores de 'showrunner', encontramos a Neal Baer, ex productor ejecutivo de 'Ley y Orden: Unidad de Víctimas Especiales'. Mucho más que un drama médico convencional.Michael tiene todo lo que puede desear. Es exitoso en el trabajo, atractivo y tiene una vida materialista centrada en el lujo gracias a su obsesión por el trabajo y a sus poderosos y millonarios mecenas. Su milimetrada escala de valores se derrumba como un castillo de naipes cuando su ex mujer y amor de su vida Anna, una idealista y respetada médica de una clínica gratuita, se le aparece misteriosamente a pesar de haber fallecido.La abrumadísima hermana de Michael, Christina (Julie Benz, 'Dexter', 'Mujeres Desesperadas'), es una madre soltera que cuida incansablemente de su hijo adolescente Milo (Liam Aiken, 'Camino a la perdición', 'Noviembre dulce'). Y lejos de pensar que su hermano está loco, siente emoción porque Anna haya vuelto. Incluso en forma de ilusión, porque Michael era muchísimo mejor persona cuando estaba a su lado. Michael cambia repentinamente y la primera en averiguarlo es su eficaz ayudante Rita (Margo Martindale, 'Million Dollar Baby', 'Pena de muerte'). Anna le pide a su ex marido que visite la clínica que fundó para que siga funcionando y allí conoce a Autumn (Afton Williamson, 'The Good Wife'), una voluntaria que ha tomado el relevo de Anna y que se dedica a tratar a los más desfavorecidos sin cobrarles dinero alguno.Conmovido por el agradecimiento de aquellos que no tienen más que una sonrisa como pago y gracias a la presencia de Anna, a Michael deja de interesarle la vida de 'glamour' y riqueza. Y lo más importante... Empieza a sentir que necesita a aquellos que lo necesitan. El dinero y el estatus pasa a un segundo plano en favor de las personas que lo rodean.;Drama,Médico
49;A las once en casa;"A las once en casa es una serie española que narra la historia de un padre separado, Ángel, que vive con sus hijos y su segunda mujer, Paula. La trama gira en torno a las complicaciones de unos padres separados y su hija adolescente, Lucia, que no tiene los mismos valores ni vivencias. La jovén tendrá como única norma ""estar a las once en casa"" pero, como toda adolescente, no será así. Por esta razón, la primera mujer de Ángel, Olga, pasará mucho tiempo en la casa. Este conjunto de acontecimientos no dejarán vivir a Ángel su segunda oportunidad tranquilo.Esta comedia española con toques dramaticos, producida por Starline, tiene como protagonistas a Antonio Resines (Los serrano), Ana Obregón (Ana y los 7) o Carmen Maura (Las chicas de oro) entre otros actores españoles reconocidos.";Comedia
50;A Little Life;La trama gira en torno a las vidas de cuatro amigos en la ciudad de Nueva York después de haberse graduado en la universidad. Malcolm es un arquitecto que vive con sus padres, JB es un pintor, Willem trabaja como actor y Jude es abogado. Aunque los cuatro se llevan realmente bien, Willem y Jude son más cercanos ya que tenen bastantes cosas en común: ambos son huérfanos, no tienen dinero y por eso comparten un pequeño apartamento de una habitación.Con el paso de los años, cada uno de ellos va buscando el éxito en sus respectivos campos, y eso provoca que las relaciones entre ellos vayan cambiando poco a poco. El orgullo, la perseverancia y la envidia llegan a este grupo de amigos que comienza a distanciarse. Solo uno Jude es capaz de mantenerles unidos. Jude, un hombre marcado por un trauma infantil del que ninguno de sus amigos sabe absolutamente nada.La serie está basada en el libro homónimo escrito por Hanya Yanagihara. La adaptación llega de la mano del productor Scott Rudin (El show de Truman, La red social) y el director Joe Mantello (Love! Valour! Compassion!).;Drama
51;A Mann's World;;Comedia
52;A Midnight Summer's Nightmare;Helen es una joven que se ve envuelta en una auténtica pesadilla cuando, una noche, decide ir al bosque con sus tres amigos. Los cuatro jóvenes se refugian entre los árboles para poder tener una noche de placer. El amor se personifica en una bella mujer que mueve los hilos de esa noche tan especial. Es este misterioso personaje quien convierte ese sueño en una auténtica pesadilla cuando varias fuerzas sobrenaturales atacan al grupo y utilizan usan sus propias fantasías y secretos contra ellos.El reparto está encabezado por Courtney Love (Sons of Anarchy, El escándalo de Larry Flynt), Dominic Monaghan (Perdidos, El Señor de los Anillos), Daisy Head (Guilt), Jake Robinson (American Odyssey) y Ellie Gall. El guionista del episodio piloto es Anthony Jaswinski (Infierno azul), que también participa como productor ejecutivo junto a Jeff Kwatinetz (Imparable) y Josh Barry (Salem).Esta historia se basa en la famosa historia de Shakespeare, Sueño en una noche de verano. Esta adaptación se ambienta en la actualidad y tiene un toque más terrorífico que la novela.;Suspense
53;A Million Little Things;Ambientada en Boston, un grupo de amigos se reúne tras un tiempo, cada uno de ellos con sus propios dilemas personales: unos han triunfado mientras otros tratan de sacar adelante sus carreras profesionales así como sus relaciones. Sin embargo, a todos ellos les une un denominador común: llevan una vida monótona en la que se sienten atrapados.Pero todo esto cambia cuando un miembro del grupo muere de manera repentina. No en vano, pues su fallecimiento es el empujón que les hacía falta para replantearse sus vidas y comenzar a disfrutar de ellas.Escrita y producida por DJ Nash (Hasta que la muerte nos separe), entre sus protagonistas se encuentran David Giuntoli (Grimm), Ron Livingston (Trabajo basura), Romany Malco (Weeds), Allison Miller (Terra Nova), Christina Moses (Los Originales), Christina Ochoa (Animal Kingdom, Blood Drive), James Roday (Psych), Stephanie Szostak (Satisfaction) y Lizzy Greene (Nicky, Ricky, Dicky & Dawn).;Comedia dramática,Drama
54;A Noite Sangrenta;;Drama
55;A Ribbon of Dreams;;Drama
56;A través del tiempo;Investigando la teoría de que viajar en el tiempo era posible, el Dr. Sam Beckett entró en el acelerador de partículas cuánticas y desapareció a través del tiempo... Al despertar se encontró atrapado en el pasado, y mirándose en un espejo descubrió una imagen que no era la suya, viéndose empujado por una fuerza desconocida a cambiar la historia. Su único guía en este viaje es Al, supervisor del proyecto y de su misma época, el cual aparece en forma de holograma que sólo Sam puede ver y oír...;Aventura,Drama,Ciencia ficción
57;A un paso del cielo;"Serie italiana centrada en la vida de Pietro, jefe de equipo del Cuerpo Forestal de una de las regiones de Alto Adigio, al norte del país. Él fue una leyenda para los amantes de la montaña y con sus escaldas conquistó los picos más difíciles. Todo marchaba bien hasta el día en que un trágico accidente de escalada acabó con la vida de su mujer. Fue entonces cuando decidió marcharse a las montañas para conseguir paz y encontrarse a sí mismo.
No obstante, Pietro no pierde el contacto con sus amigos y colabora con Huber, el ayudante de la comisaría de Policía para la resolución de casos sin resolver, hecho al que se opone el comisario Vincenzo Nappi.
Serie protagonizada por Terence Hill en el papel de Pietro. Coprotagonizada por Enrico Ianniello, como el comisario Nappi; y Gianmarco Pozzoli, como el ayudante Huber.";Crimen,Familia
58;A Very English Scandal;A Very English Scandal es la miniserie que sigue la carrera política de Jeremy Thorpe. Una controvertida historia en la que el político se ve envuelto en un escándalo que le lleva a juicio, ya que habría mantenido relaciones sexuales con un hombre cuando la homosexualidad todavía es ilegal. Sale absuelto, pero se vuelve de nuevo protagonista de la sospecha cuando Norman Scott, su amante, aparece asesinado. Él podría haber dado la orden de matarle.La ficción está protagonizada por Hugh Grant y Ben Whishaw, que acompañan en el reparto a Alex Jennings ('Victoria'), Patricia Hodge (Miranda) o Monica Dolan (Appropriate Adult). La idea del drama parte de Rusell T. Davies (Doctor Who), encargado de escribir el guion, mientras que la dirección la lleva a cabo Stephen Frears.;Drama
59;A Very Peculiar Practice;;Comedia dramática
60;A Woman Of Steel;;Drama,Teleserie
61;A Young Doctor's Notebook and Other Stories;Basada en la prolífica obra de novelas cortas del autor Mikjaíl Bulgákov, Young Doctor's Notebook narra la historia de un doctor durante dos épocas de su vida: cuando es un joven intrépido con muchas ganas de desempeñar su profesión, y cuando es un adulto al que el paso del tiempo ha desviado de su camino.Tras el final de la primera Guerra Mundial, el doctor Vladimir Bomgard (Jon Hamm, Mad Men) trata de recuperar la normalidad en su vida desarrollando su profesión. Sin embargo, su inseguridad y su falta de confianza son unas trabas importantes en su camino. Desde un parto hasta una revisión rutinaria a un paciente, Bomgard se siente torpe e inseguro, y cada vez le cuesta más ejercer la medicina sin pensar de forma negativa en que va a fracasar.A menudo, Bomgard interactuará con una versión más joven de sí mismo (Daniel Radcliffe, La mujer de negro), más entusiasta e idealista, con la que mantendrá intensas conversaciones en las que cada uno defenderá su forma de entender la medicina y la vida.;Drama
62;A.D. The Bible Continues;'A.D.: Beyond the Bible' es la secuela de 'La Biblia', miniserie que emitió History Channel en 2013, cosechando un notable éxito. Ahora, NBC es la encargada de continuar la historia con una temporada de 12 episodios. La serie está desarrollada por Mark Burnett y Roma Downet. La prolongación de esta crónica bíblica tiene como punto de partida la traición sufrida por Jesús a manos de Judas y su posterior crucifixión.La serie ha sido cancelada tras la emisión de su primera temporada.;Drama,Histórico
