;Titulo;Sinopsis;Genero
21;1992 (Millenovecento novanta due);"1992 es un drama histórico situado en Milán, Italia. La serie se centra en la convulsión política, econoómica y social vivida en el país durante el principio de los años 90, acontecimiento conocido como Tangentópolis.Tangentópolis supuso que saliera a la luz un escándalo de corrupción que mostró que el entramado político había permitido el fraude fiscal, la financiación ilegal de partidos y la malversación de fondos públicos. Este thriller político repasa como vivió el país ese importante momento político y social; además de reflejar la creación de Mani Pulite, la organización liderada por el juez Di pietro, tras la que se asumieron 1.200 condenas, decenas de suicidios de los implicados en el caso, varias absoluciones y la huida de Bettino Craxi, Primer Ministro cuando saltó el escándalo.Para seguir todo este momento histórico, la serie gira en torno a Leonardo Notte, un trabajador de Publitalia, una empresa publicitaria. Junto a él estarán Pietro, un veterano que se postula como miembro del Parlamento; Luca, un policía enfermo de SIDA que investiga a la mafia; verónica, una estrella televisiva; Michele Mainaghi, un empresario corrupto; Antonio Di Pietro, la cabeza visible de la operación judicial llevada a cabo por Mani pulite.El reparto está formado por Stefano Accorsi, Guido Caprino, Domenico Diele, Miriam Leone, Tomasso Ragno, Tea Falco y Antonio Gerardi.";Drama
22;21 Jump Street;Una unidad especial de jóvenes policías se encargan de infiltrarse en los colegios para establecer algo de orden en lso pasillos.;Crimen
23;21 Thunder;Esta serie trata sobre el competitivo mundo del fútbol, especialmente sobre la rivalidad de los jugadores más jóvenes que tratan de llegar a la sub-21 de su selección, quedándose muchos de ellos a las puertas. 21 Thunder se centra en la historia del equipo de Montreal, narrando los secretos de sus jugadores estrella tanto dentro como fuera del campo.De esta manera, este drama de la CBC no solo habla de fútbol, sino de una variedad de temas entre los que encontramos el amor, el sexo entre jóvenes, la figura de la mujer en el ámbito deportivo y el racismo. Sus creadores son Riley Adams, Kenneth Hirsch  y Adrian Wills. Entre los miembtros de su reparto destacan Stephanie Bennett (Big eyes), Emmanuel Kabongo (Frankie Drake Mysteries) y Andres Joseph (The Flash, Supergirl).;Drama,Deporte
24;23-F: El día más difícil del rey;En febrero de 1981 Leopoldo Calvo Sotelo está a punto de ser nombrado presidente de España. En el palacio de la Zarzuela, el día trascurre con relativa normalidad para una familia real que todavía está acostumbrándose a su nueva vida. Sin embargo, no muy lejos de allí, un grupo de militares encabezados por Antonio Tejero prepara un golpe de Estado. Descontentos con el rumbo que ha tomado el país desde la muerte de Franco, se proponen modificar la situación a su manera.;Histórico
25;24;Drama cargado de grandes dosis de acción y espionaje, en el que el encargado de la célula antiterrorista de Los Ángeles, Jack Bauer, cuenta con apenas 24 horas para cumplir su misión: salvar a la ciudad de una terrible amenaza. La serie fue innovadora porque cada temporada está compuesta de 24 capítulos de una hora de duración, simulando las 24 horas del día, y la acción transcurre en tiempo real.Jack Bauer (Kiefer Sutherland, 'Touch', 'Twelve') trabaja para la agencia de la Unidad Anti-Terrorista de Los Ángeles, y se embarca constantemente en misiones en las que se enfrenta a todo aquello que amenaza la seguridad de su país. Despiadado en su trabajo, Bauer siempre ha hecho cualquier cosa por conseguir sus objetivos en las misiones que le encomiendan.Su vida da un giro inesperado cuando su esposa Teri (Leslie Hope, 'The River') y su hija Kim (Elisha Cuthbert, 'Happy Endings') son secuestradas. Bauer es chantajeado para que asesine al Senador David Palmer (Dennis Haysbert, 'The Unit'), el primer candidato afroamericano a la presidencia de los Estados Unidos, a cambio de la vida de su familia. De esta forma, se ve envuelto en una misión contrarreloj en la que debe salvar a su mujer y su hija, así como garantizar la seguridad del Senador y de los Estados Unidos.;Drama,Espionaje,Acción
26;24: Legacy;Eric Carter, un veterano de guerra con un duro pasado que regresa a casa, a los brazos de su esposa Nicole, y debe trabajar uniendo fuerzas con con el CTU (Unidad Contra Terrorista), poniéndose bajo las órdenes de Rebecca Ingram, una antigua jefa del CTU, casada con un senador de nombre John Donovan. 24: Legacy es una nueva entrega dentro de la franquicia creada a partir de la serie de televisión protagonizada por Kiefer Sutherland en el papel del mítico agente federal Jack Bauer. Esta nueva serie está protagonzada por Corey Hawkins (Straight Outta Compton) y la actriz australiana Miranda Otto (Eowyn en la trilogía de El Señor de los Anillos). La producción de Fox mantiene el mismo formato de tiempo real que su predecesora y cuenta con 12 episodios para cubrir los eventos que suceden en un solo día. Evan Katz y Manny Coto escriben y producen este spin-off, en el que están acompañados por los productores ejecutivos Howard Gordon y Brian Grazer.;Drama,Suspense,Acción
27;3%;Ambientada en Brasil, en un futuro no muy lejano, la serie muestra una realidad completamente distinta a la que conocemos. La sociedad ha ido evolucionando hasta que al final ha quedado dividida entre la tecnología y la devastación. Sus ciudadanos se ven obligados a luchar para formar parte del lado de los privilegiados y evitar, de esta forma, caer en la devastación. Así, son sometidos a un duro y despiadado proceso en el que tendrán que competir entre sí para lograr ser los mejores y poder escapar de su miserable vida. ¿El problema? Solo el 3% de la población lo consigue.La ficción de Netflix está protagonizada por Jao Miguel (Estômago), Bianca Comparato (A Menina Sem Qualidades), Michel Gomes (Última Parada 174), Rodolfo Valente (Sítio do Pica-Pau Amarelo), Sérgio Mamberti (Castelo Rá-Tim-Bum, O Filme) y Vaneza Oliveira. Completan el reparto Viviane Porto, Zezé Motta, Rafael Lozano y Mel Fronckowiak, entre otros.Ha sido creada por Pedro Aguilera (Copa de Elite) y está dirigida por Cesar Charlone (Ciudad de Dios), Daina Giannecchini (Obra) Dani Libardi y Jotagá Crema (Experimentos Extraordinários), que también forma parte del equipo de guionistas junto a Pedro Aguilera, Cássio Koshikumo, Ivan Nakamura y Denis Nielsen.;Drama,Ciencia ficción,Suspense
28;37 Días;37 Days es una mini serie británica de drama documental de tres episodios que emitió por primera vez BBC Two desde el 6 hasta el 8 de marzo de 2014. Tiene tres partes y abarca las semanas antes de la Primera Guerra Mundial, desde el asesinato del archiduque Francisco Fernando de Austria el 28 de junio de 1914 hasta la declaración de guerra de Reino Unido a Alemania el 4 de agosto de 1941. La serie fue rodada en su totalidad en Irlanda del Norte. Es parte del centenario de la Primera Guerra Mundial. Los escritores y productores Marcos Hayhurst y Sue Horth hicieron un libro de 175 páginas trazando cada conferencia, llamada telefónica y carta antes de escribir el guión.;Drama,Histórico
29;40;;Comedia
30;45 revoluciones;Serie musical ambientada en la España de los años 60. Durante estos años, numerosas y nuevas bandas surgen con el fin de tener una vía de escape al ambiente social oprimido que se respira por todo el país. La única forma de encontrar la libertad y evadirse durante unos minutos es la música, que permite a ciertos chicos y chicas convertirse en ídolos e iconos para toda una generación, y que, poco a poco, crean conciencia de ganas de romper moldes y poner un poco de alegría sobre la represión que viven los ciudadanos.Este proyecto de Atresmedia Televisión viene de la mano de Bambú Producciones (Fariña, Velvet).;Musical
31;46 Yok Olan;Mural Güney es un profesor de genética turco que quiere salvar a su hermana de una extraña enfermedad que la ha hecho caer en un largo coma. Para conseguirlo, decide utilizar un medicamento que lleva investigando durante años y puede ser la esperanza de miles de personas que sufren una enfermedad similar. Sin embargo, lo que él no espera es que el descubrimiento de este nuevo medicamente, al que llama Magic Tea, cambiará su vida de forma inesperada.Erdal Besikçioglu (Miel) es el protagonista de esta ficción turca que cuenta con un reparto compuesto por Yasemin Allen, Melis Birkan, Saygin Soysal, Berkan Sal, Metin Belgin y Ayça Eren, entre otros.Este drama turco emitido en la cadena STAR está dirigido por Serdar Akar y cuenta con un guión escrito por Ercan Mehmet Erdem. Es una co-producción de Pana Film con STAR. Tuvo un total de 13 episodios y tan solo una temporada que se estrenó el 27 de marzo de 2016 y acabó el 10 de agosto del mismo año.;Drama,Acción
32;48 Hours 'Til Monday;48 hours 'til Monday es un proyecto de Fox que consiste en una comedia, grabada con una sola cámara, que retrata la vida de un padre que intenta evitar que los fines de semana que pasa con sus hijos sean desastrosos.El piloto de la serie está siendo preparado por Charlie Grandy, productor ejecutivo de The Mindy Project.;Comedia
33;5 viudas sueltas;Telenovela colombianaque gira en torno a cinco mujeres, Virginia, Samantha, María, Yidis y Luisa. Todas ellas tienen una cosa en común: los domingos visitan la cárcel, donde sus maridos comparten condena, ya sea por un descuido, un error o una injusticia. Las cinco mujeres sienten que se quedaron viudas antes de tiempo. Esta nueva condición cambiará sus vidas y se retratará en cinco historias distintas, cargadas de drama, humor, amor... A veces, las adversidades nos sirven para luchar y, otras, para comenzar de nuevo.Además de su condición sentimental, las protagonistas no tienen nada más en común. Virginia es una rica ejecutiva, María es médico, Yidis es fisioterapeuta, Luisa trabaja para una empresa de seguridad y Samantha es dependienta.;Teleserie
34;666 Park Avenue;'666 Park Avenue' nos presenta a Henry (Dave Annable, 'Cinco Hermanos') y Jane (Rachel Taylor, 'Los Ángeles de Charlie', 'Anatomía de Grey'), una joven pareja con grandes aspiraciones en la vida y muy ambiciosa que se muda para administrar un edificio histórico de Nueva York conocido como The Drake. Allí conocerán a su extravagante dueño, Gavin Doran (Terry O'Quinn, 'Perdidos' 'Hawai 5.0') y a su sensual y misteriosa esposa Olivia (Vanessa Williams, 'Ugly Betty', 'Mujeres Desesperadas'), así como a varios de los inquilinos del edificio... cada cual más extraño que el anterior.Pero Henry y Jane, pronto se dan cuenta de que la apacible y perfecta rutina de la que disfrutan los residentes de The Drake es fruto de fuerzas oscuras y sobrenaturales que están fuera de su alcance. Y es que todo apunta a que los vecinos han conseguido esa forma ideal de vida gracias a algún tipo de pacto con el diablo. Inmersos en un mundo donde la manipulación y los sucesos paranormales parecen dominar el día a día, Henry y Jane tendrán que enfrentarse a un mal que amenaza con acabar hasta con sus propias vidas. Aunque la tentación es irresistible y ellos mismos podrían hacer un pacto.Al más puro estilo de 'American Horror Story', ABC y el creador David Wilcox ('Fringe', 'Life on Mars', 'Ley y Orden') nos presentan este 'thriller' de suspense y tintes de ciencia ficción donde cualquier deseo exige un precio que pagar.;Drama,Fantasía,Suspense
35;7 Vidas;"Teleserie que narra las historias y devenires personales, profesionales y familiares de un grupo variopinto de personas alrededor del bar ""Kasi ke no"". La serie comienza cuando David (Toni Cantó) despierta de un coma en el que ha estado varios años. Aunque al principio se centra en él y su relación con su ‘nuevo mundo’; pronto otros personajes empiezan a tomar relevancia, como Gonzalo (Gonzalo de Castro), Sole (Amparo Baró), Carlota (Blanca Portillo), Aída (Carmen Machi), Diana (Anabel Alonso) y el frutero (Santi Rodríguez).";Comedia
36;700 euros, diario secreto de una call girl;Luna es una joven soñadora que sorprende a su prometido, Manuel, en brazos de su propia hermana Mireia. Eso la impulsa a dejar atrás el pueblo y probar fortuna en la capital, donde le esperan todo tipo de problemas y desgracias.;Drama,Suspense
37;77 Sunset Strip;77 Sunset Strip es una serie que gira en torno a dos detectives, Stu Bailey y Jeff Spencer. Los protagonistas son bromistas y mujeriegos pero muy eficientes en su trabajo en una agencia de detectives situada en el 77 de la calle Sunset Strip en Los Angeles.;Crimen,Acción
38;9-1-1;9-1-1 es un drama basado en hechos reales que explora la ajetreada profesión y vida del personal que opera detrás de la línea de emergencia 911. A través de ella, policías, paramédicos y bomberos reciben llamadas de urgencias diarias por las que rápidamente deben acudir y poner en riesgo su vida para salvar la de otros. La ficción está protagonizada por Angela Bassett (American Horror Story), Peter Krause (Parenthood), Corinne Massiah (Infieles), Connie Britton (Nashville), Brielle Barbusca (Scandal), Rachel Breitag (The Sex Trip), Alex Loynaz (Pedro) y Gavin Stenhouse (Allegiance). La serie está creada por Ryan Murphy y Brad Flachuk bajo la dirección de Bradley Buecker.;Drama,Acción
39;90-60-90. Diario secreto de una adolescente;Narra la historia de amor entre una adolescente que empiesza en el mundo de la moda y un fotógrafo que entra en la madurez separado y con un hijo. Ambientada en el mundo de la moda, la serie se centra en ambos protagonistas y en todas los baches qeu tendrán que superar para vivir su amor en libertad.;Drama
40;906090 Diario secreto de una adolescente;Mel, una adolescente de 16 años, se ve obligada a meterse en el mundo de la moda para conseguir dinero, cuando se queda huerfana . Allí conocerá a Bruno, un fotógrafo separado y con una hija con el que compartirá una dificil relación.;Romántico
41;911 Operators;;Comedia
42;99 Days;99 Days es una serie de comedia basada en el best-seller del mismo nombre escrito por la autora Katie Cotugno y producida para MTV. La serie cuenta la historia de Molly Barlow, una joven que está a punto de enfrentarse al verano más largo de su vida intentando lidiar con una situación que ella misma desencadenó. Así, pues debe tratar de seguir con normalidad a pesar de encontrarse con el chico al que le rompió el corazón, Patrick, y seguir viéndose con el chico por el que le rompió el corazon, el hermano de Patrick, Gabe.La primera noche tras su regreso a Star Lake, la casa de Molly es vandalizada por Julia Donnelly, quien la ataca lanzándole huevos. Esto le indica que todos recuerdan aún lo que ha pasado entre ella y Patrick. Afectada por esto, Molly empieza una cuenta atrás, ya que solo tiene que esperar 99 días más hasta volver a la universidad. Con el regreso de Molly, Gabe parece estar contento de verla. Sin embargo, ¿qué significa esto para Patrick? ¿habrá oportunidad para que perdone a Molly?La adaptación está en manos de Lila Feinberg, quien escribe el guión y sirve a su vez como productora. Como productores ejecutivos también se encuentran Leslie Morgenstein y Gina Girolano.;Comedia
